habitat_key,habitat,observation,response_index,response_band,band_definition
wet_meadow,Wet meadow,16,1.2122,Moderate,0.95–1.24
wet_meadow,Wet meadow,17,1.3466,Elevated,1.25–1.54
wet_meadow,Wet meadow,18,1.3314,Elevated,1.25–1.54
wet_meadow,Wet meadow,19,1.2466,Moderate,0.95–1.24
wet_meadow,Wet meadow,20,1.2562,Elevated,1.25–1.54
wet_meadow,Wet meadow,21,1.3285,Elevated,1.25–1.54
wet_meadow,Wet meadow,22,1.1559,Moderate,0.95–1.24
wet_meadow,Wet meadow,23,1.1841,Moderate,0.95–1.24
wet_meadow,Wet meadow,24,1.2357,Moderate,0.95–1.24
wet_meadow,Wet meadow,25,1.2533,Elevated,1.25–1.54
wet_meadow,Wet meadow,26,1.263,Elevated,1.25–1.54
wet_meadow,Wet meadow,27,1.3285,Elevated,1.25–1.54
wet_meadow,Wet meadow,28,1.299,Elevated,1.25–1.54
wet_meadow,Wet meadow,29,1.2307,Moderate,0.95–1.24
wet_meadow,Wet meadow,30,1.1325,Moderate,0.95–1.24
tidal_creek,Tidal creek,1,1.5988,High,1.55–1.84
tidal_creek,Tidal creek,2,1.8263,High,1.55–1.84
tidal_creek,Tidal creek,3,1.7966,High,1.55–1.84
tidal_creek,Tidal creek,4,2.0272,Very high,1.85–2.30
tidal_creek,Tidal creek,5,1.7485,High,1.55–1.84
tidal_creek,Tidal creek,6,1.7498,High,1.55–1.84
tidal_creek,Tidal creek,7,1.725,High,1.55–1.84
tidal_creek,Tidal creek,8,1.9488,Very high,1.85–2.30
tidal_creek,Tidal creek,9,1.7955,High,1.55–1.84
tidal_creek,Tidal creek,10,1.7307,High,1.55–1.84
tidal_creek,Tidal creek,11,1.6338,High,1.55–1.84
tidal_creek,Tidal creek,12,1.6048,High,1.55–1.84
tidal_creek,Tidal creek,13,1.7763,High,1.55–1.84
tidal_creek,Tidal creek,14,1.7498,High,1.55–1.84
tidal_creek,Tidal creek,15,1.5194,Elevated,1.25–1.54
tidal_creek,Tidal creek,16,1.7087,High,1.55–1.84
tidal_creek,Tidal creek,17,1.7348,High,1.55–1.84
tidal_creek,Tidal creek,18,1.8193,High,1.55–1.84
tidal_creek,Tidal creek,19,1.3927,Elevated,1.25–1.54
tidal_creek,Tidal creek,20,1.6161,High,1.55–1.84
tidal_creek,Tidal creek,21,1.8704,Very high,1.85–2.30
tidal_creek,Tidal creek,22,1.8351,High,1.55–1.84
tidal_creek,Tidal creek,23,1.8271,High,1.55–1.84
tidal_creek,Tidal creek,24,1.7296,High,1.55–1.84
tidal_creek,Tidal creek,25,1.8082,High,1.55–1.84
tidal_creek,Tidal creek,26,1.9318,Very high,1.85–2.30
tidal_creek,Tidal creek,27,1.8475,High,1.55–1.84
tidal_creek,Tidal creek,28,1.6172,High,1.55–1.84
tidal_creek,Tidal creek,29,1.6504,High,1.55–1.84
tidal_creek,Tidal creek,30,1.7588,High,1.55–1.84
mudflat,Mudflat,1,0.9611,Moderate,0.95–1.24
mudflat,Mudflat,2,0.9011,Low,0.65–0.94
mudflat,Mudflat,3,1.3114,Elevated,1.25–1.54
mudflat,Mudflat,4,0.755,Low,0.65–0.94
mudflat,Mudflat,5,1.1377,Moderate,0.95–1.24
mudflat,Mudflat,6,1.4101,Elevated,1.25–1.54
mudflat,Mudflat,7,0.9085,Low,0.65–0.94
mudflat,Mudflat,8,0.9597,Moderate,0.95–1.24
mudflat,Mudflat,9,0.9674,Moderate,0.95–1.24
mudflat,Mudflat,10,1.3756,Elevated,1.25–1.54
mudflat,Mudflat,11,0.9818,Moderate,0.95–1.24
mudflat,Mudflat,12,1.129,Moderate,0.95–1.24
mudflat,Mudflat,13,0.7483,Low,0.65–0.94
mudflat,Mudflat,14,1.126,Moderate,0.95–1.24
mudflat,Mudflat,15,1.0385,Moderate,0.95–1.24
mudflat,Mudflat,16,0.9108,Low,0.65–0.94
mudflat,Mudflat,17,1.0622,Moderate,0.95–1.24
mudflat,Mudflat,18,1.1365,Moderate,0.95–1.24
mudflat,Mudflat,19,1.2452,Moderate,0.95–1.24
mudflat,Mudflat,20,1.3756,Elevated,1.25–1.54
mudflat,Mudflat,21,1.1817,Moderate,0.95–1.24
mudflat,Mudflat,22,0.8563,Low,0.65–0.94
mudflat,Mudflat,23,0.8416,Low,0.65–0.94
mudflat,Mudflat,24,1.0722,Moderate,0.95–1.24
mudflat,Mudflat,25,1.3044,Elevated,1.25–1.54
mudflat,Mudflat,26,0.9681,Moderate,0.95–1.24
mudflat,Mudflat,27,0.9631,Moderate,0.95–1.24
mudflat,Mudflat,28,1.2797,Elevated,1.25–1.54
mudflat,Mudflat,29,0.9548,Moderate,0.95–1.24
mudflat,Mudflat,30,0.9658,Moderate,0.95–1.24
seagrass_bed,Seagrass bed,1,1.8621,Very high,1.85–2.30
seagrass_bed,Seagrass bed,2,1.9091,Very high,1.85–2.30
seagrass_bed,Seagrass bed,3,1.7565,High,1.55–1.84
seagrass_bed,Seagrass bed,4,1.799,High,1.55–1.84
seagrass_bed,Seagrass bed,5,1.7043,High,1.55–1.84
seagrass_bed,Seagrass bed,6,1.8047,High,1.55–1.84
seagrass_bed,Seagrass bed,7,1.6646,High,1.55–1.84
seagrass_bed,Seagrass bed,8,1.7617,High,1.55–1.84
seagrass_bed,Seagrass bed,9,1.8654,Very high,1.85–2.30
seagrass_bed,Seagrass bed,10,1.717,High,1.55–1.84
seagrass_bed,Seagrass bed,11,1.7891,High,1.55–1.84
seagrass_bed,Seagrass bed,12,1.8105,High,1.55–1.84
seagrass_bed,Seagrass bed,13,1.7848,High,1.55–1.84
seagrass_bed,Seagrass bed,14,1.86,Very high,1.85–2.30
seagrass_bed,Seagrass bed,15,1.7383,High,1.55–1.84
seagrass_bed,Seagrass bed,16,1.8565,Very high,1.85–2.30
seagrass_bed,Seagrass bed,17,1.7786,High,1.55–1.84
seagrass_bed,Seagrass bed,18,1.7799,High,1.55–1.84
seagrass_bed,Seagrass bed,19,1.7006,High,1.55–1.84
seagrass_bed,Seagrass bed,20,1.796,High,1.55–1.84
seagrass_bed,Seagrass bed,21,1.7184,High,1.55–1.84
seagrass_bed,Seagrass bed,22,1.8418,High,1.55–1.84
seagrass_bed,Seagrass bed,23,1.8845,Very high,1.85–2.30
seagrass_bed,Seagrass bed,24,1.7658,High,1.55–1.84
seagrass_bed,Seagrass bed,25,1.7804,High,1.55–1.84
seagrass_bed,Seagrass bed,26,1.8637,Very high,1.85–2.30
seagrass_bed,Seagrass bed,27,1.8165,High,1.55–1.84
seagrass_bed,Seagrass bed,28,1.791,High,1.55–1.84
seagrass_bed,Seagrass bed,29,1.7301,High,1.55–1.84
seagrass_bed,Seagrass bed,30,1.7739,High,1.55–1.84
open_estuary,Open estuary,1,1.2657,Elevated,1.25–1.54
open_estuary,Open estuary,2,1.4394,Elevated,1.25–1.54
open_estuary,Open estuary,3,1.4015,Elevated,1.25–1.54
open_estuary,Open estuary,4,1.5221,Elevated,1.25–1.54
open_estuary,Open estuary,5,1.4793,Elevated,1.25–1.54
open_estuary,Open estuary,6,1.4667,Elevated,1.25–1.54
open_estuary,Open estuary,7,1.1326,Moderate,0.95–1.24
open_estuary,Open estuary,8,1.329,Elevated,1.25–1.54
open_estuary,Open estuary,9,1.1032,Moderate,0.95–1.24
open_estuary,Open estuary,10,1.6003,High,1.55–1.84
open_estuary,Open estuary,11,1.7482,High,1.55–1.84
open_estuary,Open estuary,12,1.58,High,1.55–1.84
open_estuary,Open estuary,13,1.309,Elevated,1.25–1.54
open_estuary,Open estuary,14,2.115,Very high,1.85–2.30
open_estuary,Open estuary,15,1.4785,Elevated,1.25–1.54
open_estuary,Open estuary,16,1.3324,Elevated,1.25–1.54
open_estuary,Open estuary,17,1.3779,Elevated,1.25–1.54
open_estuary,Open estuary,18,1.3376,Elevated,1.25–1.54
open_estuary,Open estuary,19,1.5333,Elevated,1.25–1.54
open_estuary,Open estuary,20,1.2584,Elevated,1.25–1.54
open_estuary,Open estuary,21,1.6896,High,1.55–1.84
open_estuary,Open estuary,22,1.4883,Elevated,1.25–1.54
open_estuary,Open estuary,23,1.6437,High,1.55–1.84
open_estuary,Open estuary,24,0.7927,Low,0.65–0.94
open_estuary,Open estuary,25,1.6923,High,1.55–1.84
open_estuary,Open estuary,26,1.3453,Elevated,1.25–1.54
open_estuary,Open estuary,27,1.619,High,1.55–1.84
open_estuary,Open estuary,28,1.3047,Elevated,1.25–1.54
open_estuary,Open estuary,29,1.4204,Elevated,1.25–1.54
open_estuary,Open estuary,30,1.6462,High,1.55–1.84
